module,week,topic,status,hours_spent,quiz_score,assignment_score,difficulty_1_5,review_date,due_date,notes
,1,Роль руководителя и бизнес как система,not_started,,,,,,,
,2,Создание ценности и бизнес-модели,not_started,,,,,,,
,3,"Управленческие решения и когнитивные искажения; цели, kpi и управленческая коммуникация",not_started,,,,,,,
,4,"Спрос, предложение и эластичность",not_started,,,,,,,
,5,"Издержки, маржинальный анализ и юнит-экономика",not_started,,,,,,,
,6,"Рыночные структуры и теория игр; макроэкономика: инфляция, ставки и валюты",not_started,,,,,,,
,7,P&L: признание выручки и расходов,not_started,,,,,,,
,8,Баланс и оборотный капитал,not_started,,,,,,,
,9,"Денежный поток и связь трех форм; коэффициенты, бюджетирование и анализ отклонений",not_started,,,,,,,
,10,Временная стоимость денег и инвестиционные решения,not_started,,,,,,,
,11,"NPV, IRR, ROI и окупаемость",not_started,,,,,,,
,12,"Стоимость капитала и структура финансирования; оценка компаний: dcf и мультипликаторы; финансовая модель, сценарии и чувствительность",not_started,,,,,,,
,13,Исследование рынка и оценка размера,not_started,,,,,,,
,14,"Сегментация, целевая аудитория и позиционирование",not_started,,,,,,,
,15,"Ценностное предложение, бренд и клиентский путь; ценообразование, каналы и маркетинговая воронка; cac, ltv, retention и churn; b2b/b2c-продажи, прогноз и ключевые клиенты",not_started,,,,,,,
,16,"Процессы, мощности и теория ограничений",not_started,,,,,,,
,17,"Lean, Six Sigma и качество",not_started,,,,,,,
,18,"Прогноз спроса, запасы и цепи поставок; сервисные операции, риски и kpi",not_started,,,,,,,
,19,"PESTEL, пять сил и границы рынка",not_started,,,,,,,
,20,"Цепочка ценности, ресурсы и конкурентное преимущество",not_started,,,,,,,
,21,Стратегия бизнес-единицы и варианты роста,not_started,,,,,,,
,22,"Корпоративная стратегия, интеграция и диверсификация; m&a, альянсы и международная стратегия; реализация стратегии и balanced scorecard",not_started,,,,,,,
,23,"Лидерство, мотивация и постановка целей",not_started,,,,,,,
,24,"Делегирование, обратная связь и коучинг",not_started,,,,,,,
,25,"Команды, конфликты и влияние",not_started,,,,,,,
,26,"Оргдизайн, культура и изменения; найм, развитие и управление эффективностью",not_started,,,,,,,
,27,"Классика, Agile и гибридный подход",not_started,,,,,,,
,28,"Сроки, бюджет, объем и бизнес-кейс",not_started,,,,,,,
,29,Риски и заинтересованные стороны,not_started,,,,,,,
,30,"Программы, портфели, PMO и выгоды",not_started,,,,,,,
,31,Customer Development и Jobs to Be Done,not_started,,,,,,,
,32,"MVP, Product-Market Fit и эксперименты",not_started,,,,,,,
,33,"Продуктовые метрики, roadmap и приоритизация",not_started,,,,,,,
,34,"Портфель, бизнес-модели и цифровая трансформация; искусственный интеллект в бизнесе",not_started,,,,,,,
,35,"Описательная статистика, вероятность и визуализация",not_started,,,,,,,
,36,"Гипотезы, A/B-тесты и причинность",not_started,,,,,,,
,37,"Корреляция, регрессия и прогнозирование",not_started,,,,,,,
,38,Дашборды и решения на основе данных,not_started,,,,,,,
,39,"Проблема клиента, идея и Business Model Canvas",not_started,,,,,,,
,40,"Экономика стартапа, финансирование и венчур",not_started,,,,,,,
,41,"Запуск, масштабирование и управление ростом",not_started,,,,,,,
,42,Риски и инвестиционный pitch,not_started,,,,,,,
,43,"Формы организаций, договоры и ответственность",not_started,,,,,,,
,44,Интеллектуальная собственность и комплаенс,not_started,,,,,,,
,45,Корпоративное управление и деловая этика,not_started,,,,,,,
,46,"ESG, устойчивость и репутационные риски",not_started,,,,,,,
,47,Выбор компании и постановка стратегической проблемы,not_started,,,,,,,
,48,"Рынок, конкуренты и стратегические альтернативы",not_started,,,,,,,
,49,Финансовая модель и оценка рисков,not_started,,,,,,,
,50,"План реализации, KPI и управление изменениями",not_started,,,,,,,
,51,Записка и презентация совету директоров,not_started,,,,,,,
,52,Письменная защита и итоговая рефлексия,not_started,,,,,,,
